PMID,Title,Abstract,Journal,Year,Authors,Cleaned_Abstract,Categories,Research_Type,Trial_Phase,Diseases,Treatments
40568761,Evaluation of Induced Pluripotent Stem Cell-Derived Dopaminergic Neurons from Siblings with Gaucher Disease Discordant for Parkinsonism.,"In Gaucher disease (GD), glucocerebrosidase (GCase) deficiency results from biallelic pathogenic GBA1 variants. While GBA1 variants are a major risk factor for Parkinson's disease (PD), most patients with GD never develop parkinsonism. To understand factors impacting PD penetrance in patients with GD by comparing induced pluripotent stem cell (iPSC)-derived dopaminergic neurons (DANs) from GD siblings discordant for PD. iPSCs, reprogrammed from two different sibling pairs where both siblings had GD but only one developed PD, were differentiated into DANs. In one family, DAN enrichment was achieved via geneticin selection and proteomic evaluations were performed. GCase and lipid substrate levels were similar in GD and GD/PD DANs. After geneticin selection, proteomic analysis of the enriched DANs showed upregulation of molecular chaperones in the GD/PD line. PD discordance in both sets of GD siblings did not correlate with GCase or lipid substrate levels in DANs, implicating the involvement of other modifiers. Published 2025. This article is a U.S. Government work and is in the public domain in the USA. Movement Disorders published by Wiley Periodicals LLC on behalf of International Parkinson and Movement Disorder Society.",Movement disorders : official journal of the Movement Disorder Society,2025,Ellen Hertz; Krystyna Rytel; Gani Perez; Ying Hao; Ziyi Li; Charis Ma; Kate Andersh; Yue Andy Qi; Emory Ryan; Grisel Lopez; Nahid Tayebi; Ellen Sidransky; Yu Chen,gaucher disease gd glucocerebrosidase gcase deficiency result biallelic pathogenic gba1 variant gba1 variant major risk factor parkinson disease pd patient gd develop parkinsonism understand factor impact pd penetrance patient gd compare induced pluripotent stem cell ipsc)-derive dopaminergic neuron dans gd sibling discordant pd ipscs reprogramme different sibling pair sibling gd develop pd differentiate dan family dan enrichment achieve geneticin selection proteomic evaluation perform gcase lipid substrate level similar gd gd pd dan geneticin selection proteomic analysis enrich dan show upregulation molecular chaperone gd pd line pd discordance set gd sibling correlate gcase lipid substrate level dan implicate involvement modifier publish 2025 article u.s. government work public domain usa movement disorders publish wiley periodicals llc behalf international parkinson movement disorder society,,,,,
40568753,Translational minimal physiologically based pharmacokinetic model for transferrin receptor-mediated brain delivery of antibodies.,"Successful development of monoclonal antibodies (mAbs) for the treatment of central nervous system disorders has been challenging due to their minimal ability to cross the blood-brain barrier (BBB), resulting in poor brain exposure. Bispecific antibodies (bsAb) that bind to transmembrane protein expressed at the BBB, such as the transferrin receptor (TfR), have shown enhanced brain exposure in rodents and non-human primate (NHP) due to receptor-mediated transcytosis. However, it remains unclear how preclinical findings translate to humans. Moreover, optimal TfR binding affinity remains a subject of debate. Model-informed drug discovery and development is a powerful approach that has been successfully used to support research and development. The goal of this analysis was to expand a published brain minimal physiologically based pharmacokinetic (mPBPK) model to investigate the optimal TfR binding affinity for maximal brain delivery in NHP and to facilitate prediction of the PK of anti-TfR bsAbs in humans from NHP data. Literature data for plasma, cerebrospinal fluid (CSF), and brain exposure after administration of non-TfR mAbs and monovalent bsAbs with respect to TfR in NHP were used to develop the TfR mPBPK model. Clinical validation using human PK data from plasma and CSF for the monovalent anti-TfR bsAb trontinemab demonstrated good predictive performance without major model recalibration. The availability of the TfR mPBPK model is envisaged to provide better understanding of the relationship between TfR binding affinity, dose, and brain exposure, which would lead to more robust selection of lead candidates and efficacious dosing regimens.",mAbs,2025,Morris Muliaditan; Tamara J van Steeg; Lindsay B Avery; Wei Sun; Timothy R Hammond; Diana Hijdra; Siak-Leng Choi; Nikhil Pillai; Nina C Leksa; Panteleimon D Mavroudis,successful development monoclonal antibody mabs treatment central nervous system disorder challenge minimal ability cross blood brain barrier bbb result poor brain exposure bispecific antibodie bsab bind transmembrane protein express bbb transferrin receptor tfr show enhance brain exposure rodent non human primate nhp receptor mediate transcytosis remain unclear preclinical finding translate human optimal tfr bind affinity remain subject debate model inform drug discovery development powerful approach successfully support research development goal analysis expand publish brain minimal physiologically base pharmacokinetic mpbpk model investigate optimal tfr bind affinity maximal brain delivery nhp facilitate prediction pk anti tfr bsabs human nhp datum literature datum plasma cerebrospinal fluid csf brain exposure administration non tfr mabs monovalent bsabs respect tfr nhp develop tfr mpbpk model clinical validation human pk datum plasma csf monovalent anti tfr bsab trontinemab demonstrate good predictive performance major model recalibration availability tfr mpbpk model envisage provide well understanding relationship tfr bind affinity dose brain exposure lead robust selection lead candidate efficacious dosing regimen,,,,,
40568737,Male and Female Healthcare Trajectories in Autism: Are There Any Differences Considering Age at Diagnosis and Intellectual or Developmental Disabilities Status?,"The aim of this study was to compare the healthcare trajectories (HCTs) 2 years after a first diagnosis of autism according to sex, age at diagnosis, and intellectual or developmental disabilities (IDD) status. This is a retrospective cohort study using health administrative data from Québec, Canada. The cohort included all individuals with a first diagnosis of autism registered by a physician between April 2012 and March 2015. HCTs were stratified by sex, presence of IDD, and age at diagnosis (youth, adult), and analyzed using state sequence analysis across healthcare settings, providers, and reasons for use. Our cohort included 5289 individuals, 76.6% were male, and 26.3% were adults at the time of diagnosis. The healthcare use decreased slightly over time, though intensity was higher in females. Sex differences in HCTs were strongly influenced by IDD status and age at diagnosis. While no significant sex differences were observed in HCTs for individuals with IDD diagnosed with autism in adulthood, the psychiatric condition profiles showed notable differences between males and females. Hospital days nearly doubled for females diagnosed in childhood compared to males, while males with IDD diagnosed with autism in childhood and males without IDD diagnosed in adulthood had fewer physical illness visits. Although physical and mental health challenges appear largely managed in ambulatory care during youth, high hospitalization rates in those diagnosed in adulthood, particularly females and those with IDD, highlight concerns about continuity of care and avoidable hospitalizations for these subgroups of patients.",Autism research : official journal of the International Society for Autism Research,2025,Mélanie Couture; Josiane Courteau; Sébastien Brodeur; Yohann M Chiu; Mireille Courteau; Émilie Dubé; Nina Thomas; Éric Fombonne; Isabelle Dufour,aim study compare healthcare trajectory hcts 2 year diagnosis autism accord sex age diagnosis intellectual developmental disability idd status retrospective cohort study health administrative datum québec canada cohort include individual diagnosis autism register physician april 2012 march 2015 hct stratify sex presence idd age diagnosis youth adult analyze state sequence analysis healthcare setting provider reason use cohort include 5289 individual 76.6 male 26.3 adult time diagnosis healthcare use decrease slightly time intensity high female sex difference hct strongly influence idd status age diagnosis significant sex difference observe hct individual idd diagnose autism adulthood psychiatric condition profile show notable difference male female hospital day nearly double female diagnose childhood compare male male idd diagnose autism childhood male idd diagnose adulthood few physical illness visit physical mental health challenge appear largely manage ambulatory care youth high hospitalization rate diagnose adulthood particularly female idd highlight concern continuity care avoidable hospitalization subgroup patient,observational,observational,,,
40568709,Neurodevelopmental disorders and gut-brain interactions: exploring the therapeutic potential of pycnogenol through microbial-metabolic-neural networks.,"Neurodevelopmental disorders (NDDs), characterized by cognitive impairments and behavioral abnormalities, represent a clinically diverse group of conditions typically emerging during childhood or adolescence. Major subtypes encompass autism spectrum disorder (ASD), attention-deficit hyperactivity disorder (ADHD), and epilepsy. The pathogenesis of these disorders involves multifactorial interactions between genetic susceptibility (<i>Shank3</i> mutations in ASD), environmental triggers (prenatal toxins), neurotransmitter dysregulation (dopamine (GA) and γ-aminobutyric acid (GABA) systems) and immune dysregulation. Growing research highlights the gut-brain axis disruption as a potential contributor to NDDs pathophysiology, though systematic evaluation of therapeutic approaches targeting this axis and related gastrointestinal comorbidities (GIDs) remains limited. This review comprehensively examines the pathological mechanisms underlying ADHD, ASD, and epilepsy, while analyzing the reciprocal relationship between gut-brain axis dysregulation and GID manifestations in NDDs. Notably, abnormal activation of key signaling pathways including NF-κB, MAPK and PI3K/AKT/mTOR is strongly associated with the pathogenesis of NDDs. We further propose pycnogenol (PYC), a polyphenol extract of pine bark, as a natural compound with multiple bioactivities such as anti-inflammatory and antioxidant, can directly or indirectly affect the function of the gut-brain axis by regulating the structure of the intestinal microbial community (increasing the abundance of <i>Akkermansia muciniphila</i> and butyric acid-producing bacteria) and its metabolites, providing a new strategy for the treatment of NDDs.",Frontiers in cellular and infection microbiology,2025,Ling Chen; Zhiqiang Li; Yuying Fan,neurodevelopmental disorder ndd characterize cognitive impairment behavioral abnormality represent clinically diverse group condition typically emerge childhood adolescence major subtype encompass autism spectrum disorder asd attention deficit hyperactivity disorder adhd epilepsy pathogenesis disorder involve multifactorial interaction genetic susceptibility < > shank3</i > mutation asd environmental trigger prenatal toxin neurotransmitter dysregulation dopamine ga γ aminobutyric acid gaba system immune dysregulation grow research highlight gut brain axis disruption potential contributor ndd pathophysiology systematic evaluation therapeutic approach target axis related gastrointestinal comorbiditie gids remain limited review comprehensively examine pathological mechanism underlie adhd asd epilepsy analyze reciprocal relationship gut brain axis dysregulation gid manifestation ndd notably abnormal activation key signal pathway include nf κb mapk pi3k akt mtor strongly associate pathogenesis ndd propose pycnogenol pyc polyphenol extract pine bark natural compound multiple bioactivitie anti inflammatory antioxidant directly indirectly affect function gut brain axis regulate structure intestinal microbial community increase abundance < > akkermansia muciniphila</i > butyric acid produce bacteria metabolite provide new strategy treatment ndd,review,review,,,
40568592,"PANoptosis in neurological disorders: mechanisms, implications, and therapeutic potential.","PANoptosis is a unique form of programmed cell death (PCD) that has the combined main features of pyroptosis, apoptosis, and necroptosis, but cannot be fully explained by any single pathway alone. Among all the influencing factors in PANoptosis, the activation and assembly of PANoptosomes are the most critical. To date, four distinct PANoptosomes have been identified: Z-DNA-binding protein 1 (ZBP1), absent in melanoma 2 (AIM2), receptor-interacting protein kinase 1 (RIPK1), and nucleotide-binding leucine-rich repeat-containing receptor 12 (NLRP12) PANoptosomes. Currently, PANoptosis is a promising target for central nervous system (CNS) disorders treatment. Understanding its mechanisms will facilitate its therapeutic application. This review introduces the concept of PANoptosis, its detection methods, the molecular composition and regulation of PANoptosomes, and the role of ninjurin 1 (NINJ1), a new ""executor"" in PANoptosis. In addition, recent therapeutic advances targeting PANoptosis in CNS diseases were also discussed. Future research on inhibiting PANoptosis, the dynamic regulatory relationships among three death pathways, and the interactions with NINJ1 will offer new clinical insights.",Frontiers in immunology,2025,Jingyi Li; Yi Qu,panoptosis unique form program cell death pcd combine main feature pyroptosis apoptosis necroptosis fully explain single pathway influence factor panoptosis activation assembly panoptosomes critical date distinct panoptosome identify z dna bind protein 1 zbp1 absent melanoma 2 aim2 receptor interact protein kinase 1 ripk1 nucleotide bind leucine rich repeat contain receptor 12 nlrp12 panoptosome currently panoptosis promising target central nervous system cns disorder treatment understand mechanism facilitate therapeutic application review introduce concept panoptosis detection method molecular composition regulation panoptosomes role ninjurin 1 ninj1 new executor panoptosis addition recent therapeutic advance target panoptosis cns disease discuss future research inhibit panoptosis dynamic regulatory relationship death pathway interaction ninj1 offer new clinical insight,review,review,,,
40568579,Alterations in peripheral blood immune cell profiles of neuromyelitis optica spectrum disorder across different phases and after B cell depletion therapy.,"Peripheral blood immune cell profiles of neuromyelitis optica spectrum disorder (NMOSD) are still unclear under different disease states and after B cell depletion therapy. Moreover, NMOSD is often confused with multiple sclerosis (MS) and myelin oligodendrocyte glycoprotein antibody disease (MOGAD). The study aims to illustrate peripheral blood immune cell profiles of NMOSD under different disease states, after B cell depletion therapy, and compared with MS and MOGAD. This study included 76 NMOSD patients, 20 MS patients, and 12 MOGAD patients in the acute phase, along with 37 controls whose sex and age were matched with NMOSD patients. Forty-two of 76 patients with acute NMOSD were followed in remission, of whom 13, 15, and 11 patients received rituximab treatment, inebilizumab treatment, or conventional immunosuppressive therapies alone, respectively. The levels of diverse peripheral blood immune cells were measured by blood routine examination and flow cytometry. Distinctions among groups were analyzed using statistical methods. Compared with controls and NMOSD patients in remission, there was an elevation in the levels of neutrophils, platelets, platelet/lymphocyte ratio, neutrophil/lymphocyte ratio, and systemic inflammation index in acute NMOSD patients, while a decline was observed in the levels of lymphocytes, eosinophils, basophils, CD3+ T cells, CD3+CD4+ T cells, and CD4/CD8 ratio. NMOSD had increased levels of platelets and platelet/lymphocyte ratio, and decreased levels of eosinophils, basophils, CD4/CD8 ratio, and CD3+CD4+ T cells compared with MS. NMOSD had decreased levels of eosinophils, basophils, and CD19+ B cells, along with elevated platelet/lymphocyte ratio compared with MOGAD. After rituximab treatment, not only did CD19+ B cell level decrease, but eosinophil counts also increased. After inebilizumab treatment, not only did CD19+ B cell level decrease, but also the ratios of CD3+ T cells and CD3+CD8+ T cells increased. The quantity and ratios of eosinophils in rituximab group surpassed those in inebilizumab group. Peripheral blood immune cell profiles of acute NMOSD patients showed widespread distinctions compared to those of remission NMOSD patients, acute MS patients, acute MOGAD patients, and controls, as well as after differential therapies. Our findings provide clues to comprehensively understand the abnormality of the dynamic and integrated immune network in NMOSD, distinguish NMOSD from MS and MOGAD, and search for more effective and safe therapeutic targets.",Frontiers in immunology,2025,Xuying Wang; Ruoyi Guo; Zhichao Yao; Lu Liu; Zhen Jia; Xiujuan Song; Bin Li,peripheral blood immune cell profile neuromyelitis optica spectrum disorder nmosd unclear different disease state b cell depletion therapy nmosd confuse multiple sclerosis ms myelin oligodendrocyte glycoprotein antibody disease mogad study aim illustrate peripheral blood immune cell profile nmosd different disease state b cell depletion therapy compare ms mogad study include 76 nmosd patient 20 ms patient 12 mogad patient acute phase 37 control sex age match nmosd patient 76 patient acute nmosd follow remission 13 15 11 patient receive rituximab treatment inebilizumab treatment conventional immunosuppressive therapy respectively level diverse peripheral blood immune cell measure blood routine examination flow cytometry distinction group analyze statistical method compare control nmosd patient remission elevation level neutrophil platelet platelet lymphocyte ratio neutrophil lymphocyte ratio systemic inflammation index acute nmosd patient decline observe level lymphocyte eosinophil basophil cd3 + t cell cd3+cd4 + t cell cd4 cd8 ratio nmosd increase level platelet platelet lymphocyte ratio decrease level eosinophil basophil cd4 cd8 ratio cd3+cd4 + t cell compare ms nmosd decrease level eosinophil basophil cd19 + b cell elevated platelet lymphocyte ratio compare mogad rituximab treatment cd19 + b cell level decrease eosinophil count increase inebilizumab treatment cd19 + b cell level decrease ratio cd3 + t cell cd3+cd8 + t cell increase quantity ratio eosinophil rituximab group surpass inebilizumab group peripheral blood immune cell profile acute nmosd patient show widespread distinction compare remission nmosd patient acute ms patient acute mogad patient control differential therapy finding provide clue comprehensively understand abnormality dynamic integrated immune network nmosd distinguish nmosd ms mogad search effective safe therapeutic target,clinical_trial,clinical_trial,,,
40568566,Associations between high-density lipoprotein cholesterol levels and computed tomography-defined low muscle mass in older adults and sex-related differences.,"The associations between high-density lipoprotein cholesterol (HDL-C) levels and the risk of sarcopenia are inconclusive. This study aimed to investigate the association between HDL-C levels and chest computed tomography (CT)-defined low muscle mass in older adults and its sex-related differences. This prospective study involved 1995 participants aged ≥50 years. The muscle area of the bilateral erector spinae muscles was measured at the T12 level on a single CT image. Linear regression analysis was used to evaluate the effects of related factors on muscle area. Multivariate logistic regression and restricted cubic spline (RCS) analysis were used to analyze the relationships between HDL-C quartile and low muscle mass in all participants and in the male and female subgroups. An increased HDL-C level was associated with a greater risk of lower muscle area overall (β=-1.91, 95% CI: -2.95 to -0.87) and in male participants (β=-3.16, 95% CI: -4.70- -1.61), whereas no significant difference was found in the female subgroup (<i>P</i> > 0.05). A higher continuous HDL-C level was associated with a greater risk of low muscle mass in all participants (odds ratio (OR) =2.28, 95% confidence interval (CI): 1.51-3.45) and in the male subgroup (OR=3.28, 95% CI: 1.84-5.87) after adjustment for confounders, whereas no significant difference was found in the female subgroup (P>0.05). Furthermore, the RCS model showed similar results regarding the relationship between HDL-C levels and the risk of low muscle mass. Higher HDL-C levels were associated with a significantly greater risk of low muscle mass, particularly in older male adults. HDL-C levels are useful in identifying older individuals who are at risk for low muscle mass.",Frontiers in endocrinology,2025,Weixiao Zhang; Yongkang Liu; Yiping Zhang; Dingzhe Zhang; Jianhua Wang; Xiao Chen,association high density lipoprotein cholesterol hdl c level risk sarcopenia inconclusive study aim investigate association hdl c level chest compute tomography ct)-defined low muscle mass old adult sex relate difference prospective study involve 1995 participant age ≥50 year muscle area bilateral erector spinae muscle measure t12 level single ct image linear regression analysis evaluate effect relate factor muscle area multivariate logistic regression restrict cubic spline rcs analysis analyze relationship hdl c quartile low muscle mass participant male female subgroup increase hdl c level associate great risk low muscle area overall β=-1.91 95 ci -2.95 -0.87 male participant β=-3.16 95 ci -4.70- -1.61 significant difference find female subgroup < > p</i > > 0.05 high continuous hdl c level associate great risk low muscle mass participant odd ratio = 2.28 95 confidence interval ci 1.51 3.45 male subgroup or=3.28 95 ci 1.84 5.87 adjustment confounder significant difference find female subgroup p>0.05 furthermore rcs model show similar result relationship hdl c level risk low muscle mass high hdl c level associate significantly great risk low muscle mass particularly old male adult hdl c level useful identify old individual risk low muscle mass,,,,,
40568416,Self- versus caregiver-reported apathy across neurological disorders.,"Apathy is a prevalent and persistent neuropsychiatric syndrome across many neurological disorders, significantly impacting both patients and caregivers. We systematically quantified discrepancies between self- and caregiver-reported apathy in 335 patients with a variety of diagnoses, such as frontotemporal dementia (behavioural variant and semantic dementia subtypes), Parkinson's disease, Parkinson's disease dementia, dementia with Lewy bodies, Alzheimer's disease dementia, mild cognitive impairment, small vessel cerebrovascular disease, subjective cognitive decline and autoimmune encephalitis. Using the Apathy Motivation Index (AMI) and its analogous caregiver version (AMI-CG), we found that caregiver-reported apathy consistently exceeded self-reported levels across all conditions. Moreover, self-reported apathy accounted for only 14.1% of the variance in caregiver ratings. This apathy reporting discrepancy was most pronounced in conditions associated with impaired insight, such as behavioural variant frontotemporal dementia, and was significantly correlated with cognitive impairment. Deficits in memory and fluency explained an additional 11.2% of the variance in caregiver-reported apathy. Specifically, executive function deficits (e.g. indexed by fluency) and memory impairments may contribute to behavioural inertia or recall of it. These findings highlight the need to integrate patient and caregiver perspectives in apathy assessments, especially for conditions with prominent cognitive impairment. To improve diagnostic accuracy and deepen our understanding of apathy across neurological disorders, we highlight the need for adapted apathy assessment strategies that account for cognitive impairment particularly in individuals with insight or memory deficits. Understanding the cognitive mechanisms underpinning discordant apathy reporting in dementia might help inform targeted clinical interventions and reduce caregiver burden.",Brain communications,2025,Sijia Zhao; Anna Scholcz; Matthew A Rouse; Verena S Klar; Akke Ganse-Dumrath; Sofia Toniolo; M John Broulidakis; Matthew A Lambon Ralph; James B Rowe; Peter Garrard; Sian Thompson; Sarosh R Irani; Sanjay G Manohar; Masud Husain,apathy prevalent persistent neuropsychiatric syndrome neurological disorder significantly impact patient caregiver systematically quantify discrepancy self- caregiver report apathy 335 patient variety diagnosis frontotemporal dementia behavioural variant semantic dementia subtype parkinson disease parkinson disease dementia dementia lewy body alzheimer disease dementia mild cognitive impairment small vessel cerebrovascular disease subjective cognitive decline autoimmune encephalitis apathy motivation index ami analogous caregiver version ami cg find caregiver report apathy consistently exceed self report level condition self report apathy account 14.1 variance caregiver rating apathy reporting discrepancy pronounce condition associate impaired insight behavioural variant frontotemporal dementia significantly correlate cognitive impairment deficit memory fluency explain additional 11.2 variance caregiver report apathy specifically executive function deficit e.g. index fluency memory impairment contribute behavioural inertia recall finding highlight need integrate patient caregiver perspective apathy assessment especially condition prominent cognitive impairment improve diagnostic accuracy deepen understanding apathy neurological disorder highlight need adapt apathy assessment strategy account cognitive impairment particularly individual insight memory deficit understand cognitive mechanism underpin discordant apathy reporting dementia help inform targeted clinical intervention reduce caregiver burden,,,,,
40568414,Tailoring Treatment for Substance Use Disorders in Older Adults: A Mixed-methods Study.,"The number of persons in mid-to-late life with substance use disorders (SUDs) in the United States has tripled over the past 2 decades, with opioid use disorder largely accounting for this increase. Older individuals with SUDs have unique medical, psychological, and social needs. Despite these needs and growing demand for SUD treatment within this age group, little is known regarding availability of specialized SUD treatment programs for older persons and barriers or facilitators to implementing these services. We conducted a mixed-methods study, first conducting qualitative interviews with counselors at outpatient SUD treatment facilities in Connecticut (<i>N</i> = 10). We then used these qualitative interview findings to guide analysis of quantitative data from SAMHSA's National Substance Use and Mental Health Services Survey (N-SUMHSS) and the National Survey of Substance Abuse Treatment Services (N-SSATS) survey. Using the Behavioral Model of Health Services Utilization for Vulnerable Populations and Framework Analysis, we identified predisposing (eg, treatment attitudes), enabling (eg, transportation), need-based (eg, comorbidities; integrated care), and healthcare system-related (eg, insurance) characteristics affecting older adults' SUD treatment engagement. SUD treatment facilities offering ""a tailored program for seniors or older adults"" increased steadily in Connecticut, and the United States overall, between 2010 and 2022. Of the 74 (43%) Connecticut facilities offering tailored older adult services, social, structural, and mental health services were offered at high rates (64%-86%), but medical services were offered at lower rates (39%-52%). Our findings indicate a gap between the treatment needs of older adults with SUDs and available services. Greater attention to integrated medical services, screening for geriatric-specific syndromes that could impede treatment access (eg, cognitive impairment; mobility), and appropriate workforce training is needed to optimize treatment for older adults with SUD, especially considering the opioid use disorder epidemic in the United States.",Innovation in aging,2025,Megan O'Grady; Kristyn Zajac; Alexandra DePalma; Yang Liu; Lisa C Barry,number person mid late life substance use disorder sud united states triple past 2 decade opioid use disorder largely account increase old individual sud unique medical psychological social need despite need grow demand sud treatment age group little know availability specialized sud treatment program old person barrier facilitator implement service conduct mixed method study conduct qualitative interview counselor outpatient sud treatment facility connecticut < > n</i > = 10 qualitative interview finding guide analysis quantitative datum samhsa national substance use mental health services survey n sumhss national survey substance abuse treatment services n ssats survey behavioral model health services utilization vulnerable populations framework analysis identify predispose eg treatment attitude enable eg transportation need base eg comorbiditie integrate care healthcare system relate eg insurance characteristic affect old adult sud treatment engagement sud treatment facility offer tailor program senior old adult increase steadily connecticut united states overall 2010 2022 74 43 connecticut facility offering tailor old adult service social structural mental health service offer high rate 64%-86 medical service offer low rate 39%-52 finding indicate gap treatment need old adult sud available service great attention integrate medical service screen geriatric specific syndrome impede treatment access eg cognitive impairment mobility appropriate workforce training need optimize treatment old adult sud especially consider opioid use disorder epidemic united states,,,,,
40568361,Quantitative 3D reconstruction of viral vector distribution in rodent and ovine brain following local delivery.,"Viral vectors are an active area of research and development to treat diseases of the central nervous system (CNS). However, systemic delivery of large-molecular weight biologics is complicated by limited crossing of the blood-brain barrier, immunological clearance from the circulation, off-target effects, and systemic or organ toxicity. Local drug delivery can mitigate these obstacles, however, the drug must still be distributed over sufficiently large tissue volume to achieve the desired efficacy. In the field of drug delivery, quantitative, high resolution spatial analysis of drug distribution in the brain and other organs poses a challenge. To address this issue, we introduce a computational pipeline to reconstruct and quantify 3D distribution of locally delivered viral vectors from 2D microscopy images of subsampled brain sections. This pipeline, which combined existing and newly developed machine-learning and other computational tools, effectively removed false positive artifacts abundant in large-scale images of uncleared tissue sections, and subsampling adequately predicted the dispersion of model viral vectors from the point of local drug delivery. Furthermore, the pipeline successfully captured differences in the distribution of adeno virus (AdV) and adeno-associated virus (AAV) vectors exhibiting varying sizes and transport properties. Notably, the proposed method is directly applicable to the distribution studies of therapeutics in large animal models. Thus, our developed pipeline is an accessible tool that can aid the research and development of local drug delivery strategies for the treatment of CNS diseases with viral vectors and potentially other therapeutics.",Neuroimage. Reports,2024,Roberta Poceviciute; Kenneth Mitchell; Angeliki Maria Nikolakopoulou; Suehyun K Cho; Xiaobo Ma; Phillip Chen; Samantha Figueroa; Ethan J Sarmiento; Aryan Singh; Oren Hartstein; William G Loudon; Florent Cros; Alexander S Kiselyov,viral vector active area research development treat disease central nervous system cns systemic delivery large molecular weight biologic complicate limited crossing blood brain barrier immunological clearance circulation target effect systemic organ toxicity local drug delivery mitigate obstacle drug distribute sufficiently large tissue volume achieve desire efficacy field drug delivery quantitative high resolution spatial analysis drug distribution brain organ pose challenge address issue introduce computational pipeline reconstruct quantify 3d distribution locally deliver viral vector 2d microscopy image subsample brain section pipeline combine exist newly develop machine learning computational tool effectively remove false positive artifact abundant large scale image uncleared tissue section subsampling adequately predict dispersion model viral vector point local drug delivery furthermore pipeline successfully capture difference distribution adeno virus adv adeno associate virus aav vector exhibit vary size transport property notably propose method directly applicable distribution study therapeutic large animal model developed pipeline accessible tool aid research development local drug delivery strategy treatment cns disease viral vector potentially therapeutic,,,,,
