PMID,Title,Abstract,Journal,Year,Authors,Cleaned_Abstract
40575969,The effects of radiation therapy on the brain: implications for management.,"Radiation therapy (RT) plays a critical role in the management of intracranial malignancies, offering a potent and targeted approach to tumor control. The benefits of RT have been recognized for decades, and it is commonly employed in the management of both primary brain tumors and, especially, brain metastases. Through the induction of DNA damage and disruption of cellular integrity, RT promotes apoptosis and inhibits the proliferative capacity of cancer cells. Advances in imaging, dose planning, and delivery techniques have significantly enhanced the precision of RT, allowing for effective tumor eradication while minimizing harm to surrounding healthy tissue. As a result, RT improves local disease control and contributes to prolonged survival in patients with brain tumors. Nonetheless, intracranial RT may inadvertently damage surrounding healthy brain structures. The effects of RT can manifest as both acute and delayed toxicities, potentially compromising patient quality of life and long-term outcomes. For treating clinicians, a thorough understanding of these complications is necessary to design radiation treatment plans that properly balance the therapeutic efficacy of therapy with the risks of adverse treatment-related outcomes. In this review, we explore the distinct pathophysiological mechanisms, symptoms, and management strategies associated with acute, early delayed (one to six months), and late delayed radiation-induced brain toxicities. In particular, we discuss the risks of somnolence syndrome, peri-ictal pseudoprogression, radiation necrosis, vascular disorders, cognitive impairment, cranial neuropathies, endocrine dysfunction, the development of secondary malignancies, stroke-like migraine attacks after radiation therapy (SMART) syndrome, and acute late-onset encephalopathy after radiation therapy (ALERT) syndrome after brain RT.",Chinese clinical oncology,2025.0,Bayle Smith-Salzberg; Kristin Hsieh; Daniel Cherry; Julie R Bloom; Catherine Yu; Anthony D Nehlsen; Lucas Resende Salgado; Kunal K Sindhu,radiation therapy rt play critical role management intracranial malignancy offer potent target approach tumor control benefit rt recognize decade commonly employ management primary brain tumor especially brain metastasis induction dna damage disruption cellular integrity rt promote apoptosis inhibit proliferative capacity cancer cell advance imaging dose planning delivery technique significantly enhance precision rt allow effective tumor eradication minimize harm surround healthy tissue result rt improve local disease control contribute prolonged survival patient brain tumor nonetheless intracranial rt inadvertently damage surround healthy brain structure effect rt manifest acute delayed toxicity potentially compromise patient quality life long term outcome treat clinician thorough understanding complication necessary design radiation treatment plan properly balance therapeutic efficacy therapy risk adverse treatment relate outcome review explore distinct pathophysiological mechanism symptom management strategy associate acute early delay month late delay radiation induce brain toxicity particular discuss risk somnolence syndrome peri ictal pseudoprogression radiation necrosis vascular disorder cognitive impairment cranial neuropathy endocrine dysfunction development secondary malignancy stroke like migraine attack radiation therapy smart syndrome acute late onset encephalopathy radiation therapy alert syndrome brain rt
40575926,Polyvalent immunoglobulin therapy: preclinical evidence and potential for treating chemotherapy-induced peripheral neuropathy.,"Chemotherapy-induced peripheral neuropathy (CIPN) is a prevalent and often debilitating complication of cancer treatment, affecting over 68% of treated patients. This condition is characterized by sensory deficits, neuropathic pain, and reduced quality of life. While polyvalent human immunoglobulins (IVIg) are established treatments for various immune-mediated neurological disorders, including certain inflammatory and autoimmune peripheral neuropathies, their role in CIPN remains unexplored in clinical settings. This review examines the neuroprotective properties of IVIg, focusing on approved indications, and explores recent preclinical evidence on the role of neuroinflammation in CIPN pathophysiology. We propose that IVIg could, based on preclinical findings, offer therapeutic benefits in managing CIPN without interfering with cancer treatments, provided that future clinical validation supports its efficacy and safety. Although there is currently no clinical experience with IVIg in CIPN patients, preclinical data suggest promising therapeutic prospects. Future research is essential to elucidate CIPN mechanisms further and to determine how IVIg might contribute as a novel therapeutic strategy, ultimately improving the quality of life for cancer patients.",Expert opinion on investigational drugs,2025.0,William Moret; Aurore Danigo; Simon Frachet; Franck Sturtz; Sylvie Bourthoumieu; Laurent Magy; Claire Demiot; Amandine Rovini,chemotherapy induce peripheral neuropathy cipn prevalent debilitate complication cancer treatment affect 68 treat patient condition characterize sensory deficit neuropathic pain reduce quality life polyvalent human immunoglobulin ivig establish treatment immune mediate neurological disorder include certain inflammatory autoimmune peripheral neuropathy role cipn remain unexplored clinical setting review examine neuroprotective property ivig focus approve indication explore recent preclinical evidence role neuroinflammation cipn pathophysiology propose ivig base preclinical finding offer therapeutic benefit manage cipn interfere cancer treatment provide future clinical validation support efficacy safety currently clinical experience ivig cipn patient preclinical datum suggest promise therapeutic prospect future research essential elucidate cipn mechanism determine ivig contribute novel therapeutic strategy ultimately improve quality life cancer patient
40575896,[Treatment of familial ALS with the drug tofersen].,"Amyotrophic lateral sclerosis (ALS) is a severe and progressive neurodegenerative disorder. We describe four cases of familial ALS based on SOD1 mutations who received intrathecal treatment with the antisense oligonucleotide tofersen at Landspítali University Hospital Iceland. Since initiation of treatment, there has not been any significant deterioration, and three patients have shown signs of cinical improvement. The cerebrospinal fluid concentration of neurofilament light chain (Nf-L), a biomarker of neuronal axonal damage, has decreased to the reference range of healthy individuals. No serious side effects have been observed.",Laeknabladid,2025.0,Bjorn Logi Thorarinsson; Karen Eva Halldorsdottir; Agust Hilmarsson; Olafur Arni Sveinsson,amyotrophic lateral sclerosis als severe progressive neurodegenerative disorder describe case familial als base sod1 mutation receive intrathecal treatment antisense oligonucleotide tofersen landspítali university hospital iceland initiation treatment significant deterioration patient show sign cinical improvement cerebrospinal fluid concentration neurofilament light chain nf l biomarker neuronal axonal damage decrease reference range healthy individual effect observe
40575809,Assessment of mental health symptoms in new refugees.,"Refugees have a higher prevalence of mental disorders than the general population. The Norwegian Directorate of Health recommends screening for traumatic experiences and assessing mental health symptoms three months atter arrival when deemed relevant. However, it is uncertain whether this recommendation helps identify individuals at increased risk of a mental disorder. The aim of the study was to investigate whether assessing mental health symptoms and the risk of mental disorders in newly arrived refugees can help identify individuals who subsequently experience mental health problems. We conducted a retrospective study based on the medical records of refugees who underwent a health assessment at Hommelvik Medical Centre in the period 2016-2019 and the Centre for Migration Health (SEMI) in Bergen in 2022. The risk of mental disorders was categorised as high, moderate or low. Symptoms of mental disorders were recorded during the follow-up period, which was two years and one year, respectively. A total of 123 refugees were included in the study. Based on the health assessments, 50 participants (41 %) were retrospectively assessed as having a low risk of a mental disorder, 30 (24 %) a moderate risk and 12 (10 %) a high risk. There was insufficient medical documentation to perform a risk assessment for 31 participants (25 %). During the follow-up period, mental health symptoms were observed in 9 of the 12 high-risk participants, compared to 5 of the 50 low-risk participants. Conducting health and risk assessments three months atter arrival in Norway can help identify refugees who subsequently experience symptoms of a mental disorder.","Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",2025.0,Trygve Sølberg Ellingsen; Frida Faaland; Espen Bjertness; Kjærsti Thorsteinsen; Johanna Laue,refugee high prevalence mental disorder general population norwegian directorate health recommend screen traumatic experience assess mental health symptom month atter arrival deem relevant uncertain recommendation helps identify individual increase risk mental disorder aim study investigate assess mental health symptom risk mental disorder newly arrive refugee help identify individual subsequently experience mental health problem conduct retrospective study base medical record refugee undergo health assessment hommelvik medical centre period 2016 2019 centre migration health semi bergen 2022 risk mental disorder categorise high moderate low symptom mental disorder record follow period year year respectively total 123 refugee include study base health assessment 50 participant 41 retrospectively assess have low risk mental disorder 30 24 moderate risk 12 10 high risk insufficient medical documentation perform risk assessment 31 participant 25 follow period mental health symptom observe 9 12 high risk participant compare 5 50 low risk participant conduct health risk assessment month atter arrival norway help identify refugee subsequently experience symptom mental disorder
40575801,Effect of educational intervention on quality of life in diabetic patients: a comparison between intervention and control groups at Ziaeian hospital.,"Diabetes increases healthcare load and seriously compromises quality of life. This study aimed to develop a hospital-based educational and follow-up strategy at Ziaeian Hospital and assess how it affected the diabetic patients' health outcomes. This study was a community-level intervention based on Compassion-Focused Therapy (CFT). The study was conducted from 2020 to 2022 at Ziaeian Hospital in District 17 of Tehran, involving 312 diabetic patients. Participants were randomly allocated to two groups: the intervention group (<i>n</i> = 156) and the control group (<i>n</i> = 156). The intervention group received structured education, continuous follow-up, and family engagement, while the control group underwent standard treatment. Data were collected using a researcher-developed questionnaire and the SF-36 quality of life assessment. Statistical analyses were performed using STATA version 14.02, with significance set at <i>P</i> < 0.05. The statistical tests employed included t-tests, Chi-squared tests, Fisher's exact test, and paired t-test. The mortality rate in the control group was therefore 9.03%, higher than the 5.52% noted in the intervention group. Baseline clinical markers (FBS, HbA1c, triglycerides, cholesterol, and BMI) showed no appreciable differences across the groups. Though no significant changes in social functioning, mental health, or physical performance, the intervention group showed notable improvements in overall quality of life (<i>p</i> = 0.0053), general health (<i>p</i> < 0.0001), energy/fatigue (<i>p</i> < 0.0001). In conclusion, systematic instruction and continuous monitoring improved quality of life and lower mortality among diabetics. These results highlight the need of patient monitoring in diabetes management as well as of hospital-based training programs.",Journal of diabetes and metabolic disorders,2025.0,Abolfazl Zendehdel; Abdolrahman Rostamian; Mohammad Effatpanah; Assadollah Rajab; Elham Elahi; Shnoo Bayazidi,diabetes increase healthcare load seriously compromise quality life study aim develop hospital base educational follow strategy ziaeian hospital assess affect diabetic patient health outcome study community level intervention base compassion focused therapy cft study conduct 2020 2022 ziaeian hospital district 17 tehran involve 312 diabetic patient participant randomly allocate group intervention group < > n</i > = 156 control group < > n</i > = 156 intervention group receive structured education continuous follow family engagement control group undergo standard treatment datum collect researcher develop questionnaire sf-36 quality life assessment statistical analysis perform stata version 14.02 significance set < > p</i > < 0.05 statistical test employ include t test chi square test fisher exact test pair t test mortality rate control group 9.03 high 5.52 note intervention group baseline clinical marker fbs hba1c triglyceride cholesterol bmi show appreciable difference group significant change social functioning mental health physical performance intervention group show notable improvement overall quality life < > p</i > = 0.0053 general health < > p</i > < 0.0001 energy fatigue < > p</i > < 0.0001 conclusion systematic instruction continuous monitoring improve quality life low mortality diabetic result highlight need patient monitoring diabetes management hospital base training program
40575774,Proanthocyanidins from Ginkgo extract EGb 761<sup>®</sup> improve bioenergetics and stimulate neurite outgrowth <i>in vitro</i>.,"EGb 761<sup>®</sup> is a proprietary extract from <i>Ginkgo biloba</i> leaves approved as an herbal medication for the treatment of dementia and its related disorders. Preclinical studies highlight antioxidant, ROS scavenging, mitochondria-stabilizing, and neuroplastic properties as some of the reported pharmacological activities. Efficacy is traditionally ascribed to terpene lactones and flavone glycosides. However, these quantified known active compounds in EGb 761<sup>®</sup> only cover approximately 30% of the mass balance, and there is the possibility that additional compounds from the residual 70% may enhance the activity of the quantified extract EGb 761<sup>®</sup>. Proanthocyanidins (PACs) are a quantitatively relevant component in EGb 761<sup>®</sup>, and some pharmacological activity has been reported for PACs from Ginkgo and other herbal sources. In this study, we focused on the effects of EGb 761<sup>®</sup> and its isolated PACs on mitochondrial bioenergetics and neuroplasticity in the human neuroblastoma cell line SH-SY5Y. We successfully demonstrated positive effects of EGb 761<sup>®</sup> and its isolated PACs on several mitochondrial characteristics and neurite outgrowth. As PACs exhibited similar effects compared to the respective extract concentration, they can be considered a pharmacologically relevant component of EGb 761<sup>®</sup>.",Frontiers in pharmacology,2025.0,Imane Lejri; Ina Vukalović; Amandine Grimm; Anne Eckert,egb 761 < sup> ® </sup > proprietary extract < > ginkgo biloba</i > leave approve herbal medication treatment dementia related disorder preclinical study highlight antioxidant ros scavenging mitochondria stabilizing neuroplastic property report pharmacological activity efficacy traditionally ascribe terpene lactone flavone glycoside quantify know active compound egb 761 < sup> ® </sup > cover approximately 30 mass balance possibility additional compound residual 70 enhance activity quantified extract egb 761 < sup> ® </sup > proanthocyanidin pacs quantitatively relevant component egb 761 < sup> ® </sup > pharmacological activity report pacs ginkgo herbal source study focus effect egb 761 < sup> ® </sup > isolated pac mitochondrial bioenergetic neuroplasticity human neuroblastoma cell line sh sy5y. successfully demonstrate positive effect egb 761 < sup> ® </sup > isolated pac mitochondrial characteristic neurite outgrowth pac exhibit similar effect compare respective extract concentration consider pharmacologically relevant component egb 761 < sup> ® </sup >
40575733,Persistent pain signaling and stress response in a mouse model of inflammatory low back pain.,"Chronic low back pain (LBP) is linked to dysfunction in both peripheral and central nervous systems and is a risk factor of psychiatric disorders such as depression. However, pain-related signaling in sensory and central neurons during chronic LBP, and its impact on stress-induced emotional behaviors, remains poorly understood. The aim of this study was to investigate persistent changes in pain-related and inflammation-related signaling in an inflammatory LBP mouse model and assess its influence on stress-related behaviors. An LBP-like condition was induced by administering complete Freund adjuvant to the lumbar region in mice. Behavioral assessments included gait analysis and mechanical sensitivity testing. Gene expression and immunohistological changes in the dorsal root ganglia (DRG), spinal cord, and brain regions were examined. Chronic social defeat stress (CSDS) was used to evaluate stress susceptibility and emotion-related behavior. Complete Freund adjuvant-induced lumbar inflammation led to delayed onset of LBP-like behaviors, including impaired gait and hindpaw hypersensitivity, persisting into the chronic phase. Expression of inflammatory and pain-related genes was significantly elevated in the DRG and spinal cord in the lumbar region. Increased microglial activation and reduced <i>Bdnf</i> expression in the hippocampus were observed, accompanied by impaired hippocampal neurogenic process. Mice with LBP-like conditions exhibited heightened avoidance behavior following CSDS and an exaggerated hippocampal stress response. Chronic inflammation-induced LBP disrupts both peripheral and central neural function and may contribute to increased stress susceptibility and depression-like behaviors.",Pain reports,2025.0,Hiroaki Motohashi; Yasuhito Yamaji; Kazunari Mori; Sena Washizu; Oki Hoshino; Kotone Fujimoto; Seiji Kanazawa; Yoshihiko Minegishi; Noriyasu Ota; Takuya Mori; Eri Segi-Nishida,chronic low pain lbp link dysfunction peripheral central nervous system risk factor psychiatric disorder depression pain relate signaling sensory central neuron chronic lbp impact stress induce emotional behavior remains poorly understand aim study investigate persistent change pain relate inflammation relate signaling inflammatory lbp mouse model assess influence stress relate behavior lbp like condition induce administer complete freund adjuvant lumbar region mouse behavioral assessment include gait analysis mechanical sensitivity testing gene expression immunohistological change dorsal root ganglia drg spinal cord brain region examine chronic social defeat stress csds evaluate stress susceptibility emotion relate behavior complete freund adjuvant induce lumbar inflammation lead delay onset lbp like behavior include impaired gait hindpaw hypersensitivity persist chronic phase expression inflammatory pain relate gene significantly elevate drg spinal cord lumbar region increase microglial activation reduce < > bdnf</i > expression hippocampus observe accompany impaired hippocampal neurogenic process mouse lbp like condition exhibit heighten avoidance behavior follow csds exaggerated hippocampal stress response chronic inflammation induce lbp disrupt peripheral central neural function contribute increase stress susceptibility depression like behavior
40575691,Work Exposome and Related Disorders of Firefighters: An Overview of Systematized Reviews.,"Firefighters experience many exposures associated with negative health outcomes. Because of this, there are many studies on the subject. Our objective here was to conduct an umbrella review of systematized reviews to identify firefighting activities and related exposures associated with negative health outcomes. A comprehensive search of the PubMed, Web of Science, and Scopus (Health) was conducted using all firefighter systematized reviews. We extracted the country and date of the review, type of firefighter, types of exposure, and related health outcomes. Risk of bias was based on AMSTAR-2 checklist. In 1130 studies, 47 systematized reviews were included, mostly in the last 5 years and from North America and Australia. The topics were diverse, ranging from general aspects to specific exposures, such as polycyclic aromatic hydrocarbons, wildland fires, organizational, traumatic, or psychological stress exposure, and from prevention or surveillance to specific health effects (e.g., cancer, mental health, musculoskeletal disorders, cardiovascular, and pulmonary health, etc.). The risk of bias assessment using the selection grid shows a significant heterogeneity, though some studies were of very high quality. This umbrella review provides a comprehensive description of systematized reviews describing populations of firefighters, including information on exposure, health outcomes, and illness/injury prevention.",Safety and health at work,2025.0,Alexis Descatha; Hugues Dousseau; Sabrina Pitet; Francis Magnolini; Neil McMillan; Neil Mangelsdorf; Rick Swan; Jean-Marie Steve; Didier Pourret; Marc Fadel,firefighter experience exposure associate negative health outcome study subject objective conduct umbrella review systematize review identify firefighting activity relate exposure associate negative health outcome comprehensive search pubmed web science scopus health conduct firefighter systematize review extract country date review type firefighter type exposure relate health outcome risk bias base amstar-2 checklist 1130 study 47 systematize review include 5 year north america australia topic diverse range general aspect specific exposure polycyclic aromatic hydrocarbon wildland fire organizational traumatic psychological stress exposure prevention surveillance specific health effect e.g. cancer mental health musculoskeletal disorder cardiovascular pulmonary health etc risk bias assessment selection grid show significant heterogeneity study high quality umbrella review provide comprehensive description systematize review describe population firefighter include information exposure health outcome illness injury prevention
40575660,A mixed methods exploration of the origin of dental anxiety and coping strategies among participants in a behavioral intervention for dental anxiety.,"Little is known about the onset and early progression of dental anxiety. The current mixed-methods study aimed to evaluate patient-reported early experiences and onset of dental anxiety, as well as the experience of managing dental anxiety (i.e., coping strategies and symptom severity). Adults (N=499) were recruited from a dental school clinic to participate in a clinical trial testing the efficacy of a cognitive behavioral therapy (CBT)-based intervention for dental anxiety. As one aspect of this trial, participants answered the Anxiety and Related Disorders Interview Schedule. During this interview, participants described when they first noticed developing anxiety about dental appointments, as well as how they coped during their appointments. Assessments were repeated at one-month and three-month follow-ups. Bivariate associations (e.g., chi-square and t-test) and repeated measures ANOVA were explored. Qualitative data were coded in NVivo. The three identified origins for dental anxiety were: ""traumatic dental visit in childhood,"" ""traumatic dental visit in adulthood,"" and ""anxiety has always been present."" Participants who reported a childhood trauma had the highest levels of dental anxiety relative to the other two groups. In total, 30 unique coping mechanisms were identified. A reduction in avoidant coping strategies was observed among the intervention groups at both one-month and three-months, but not in the control group. Earlier negative dental experiences are more likely to result in greater anxiety severity. A one-time CBT-based dental anxiety treatment reduced the use of avoidant coping strategies, which may in turn reduce patient fears.",Frontiers in oral health,2025.0,Elizabeth Konneker; Devon Singh; Marisol Tellez; Amid I Ismail; Eugene M Dunne,little know onset early progression dental anxiety current mixed method study aim evaluate patient report early experience onset dental anxiety experience manage dental anxiety i.e. cope strategy symptom severity adult n=499 recruit dental school clinic participate clinical trial test efficacy cognitive behavioral therapy cbt)-base intervention dental anxiety aspect trial participant answer anxiety related disorders interview schedule interview participant describe notice develop anxiety dental appointment cope appointment assessment repeat month month follow up bivariate association e.g. chi square t test repeat measure anova explore qualitative datum code nvivo identify origin dental anxiety traumatic dental visit childhood traumatic dental visit adulthood anxiety present participant report childhood trauma high level dental anxiety relative group total 30 unique coping mechanism identify reduction avoidant cope strategy observe intervention group month month control group early negative dental experience likely result great anxiety severity time cbt base dental anxiety treatment reduce use avoidant cope strategy turn reduce patient fear
40575652,"Ultra-stretchable, adhesive and photothermal multifunctional hydrogel for renal denervation to treat hypertension.","Hypertension is a major risk factors for stroke, cardiovascular diseases, and chronic kidney diseases. Although taking antihypertension drugs improves the prognosis of hypertensive patients to a certain extent, there are still lots of refractory hypertension and non-adherent patients. Therefore, it is imperative to explore more effective and targeted treatment approaches. Herein, we construct a multifunctional photothermal hydrogel to treat hypertension and cardiac remodeling through renal denervation (RDN) under 808 nm near-infrared (NIR) laser irradiation. The prepared multifunctional hydrogel, which is customized based on renal perivascular microenvironment, exhibits excellent stretchability, mechanical properties, flexibility and adhesion, ensuring it with remarkable conformability to the dynamic movements of the renal arteries throughout RDN procedures. Photothermal RDN achieved significant blood pressure reduction, with sustained decreases of 13.3 ± 2.5 mmHg in systolic blood pressure and 10.6 ± 1.2 mmHg in diastolic blood pressure, persisting for 8 weeks post-treatment. Additionally, a reduction in myocardial fibrosis and cardiomyocyte hypertrophy is observed, which indicative of the alleviation of cardiac remodeling. The antihypertensive effect of photothermal RDN is mediated through inhibition of the renin-angiotensin-aldosterone system (RAAS) pathway and activation of the cGMP-PKG signaling cascade. The photothermal hydrogel-mediated RDN treatment provides a promising and innovative strategy for treating hypertension and cardiac remodeling.",Materials today. Bio,2025.0,Heng Lin; Haosong Xi; Hengyang Liu; Ze Zhao; DangWei Li; Shixin Wang; Di Yang; Jiaxing Huang; Rui Li; Jiaming Qiao; Hong Jiang; Lilei Yu; Fan Cheng; Hongbing Deng,hypertension major risk factor stroke cardiovascular disease chronic kidney disease take antihypertension drug improve prognosis hypertensive patient certain extent lot refractory hypertension non adherent patient imperative explore effective target treatment approach construct multifunctional photothermal hydrogel treat hypertension cardiac remodel renal denervation rdn 808 nm near infrared nir laser irradiation prepared multifunctional hydrogel customize base renal perivascular microenvironment exhibit excellent stretchability mechanical property flexibility adhesion ensure remarkable conformability dynamic movement renal artery rdn procedure photothermal rdn achieve significant blood pressure reduction sustained decrease 13.3 ± 2.5 mmhg systolic blood pressure 10.6 ± 1.2 mmhg diastolic blood pressure persist 8 week post treatment additionally reduction myocardial fibrosis cardiomyocyte hypertrophy observe indicative alleviation cardiac remodeling antihypertensive effect photothermal rdn mediate inhibition renin angiotensin aldosterone system raas pathway activation cgmp pkg signal cascade photothermal hydrogel mediate rdn treatment provide promising innovative strategy treat hypertension cardiac remodeling
